booking_id,passenger_id,passenger_name,gender,age,nationality,flight_id,airline,flight_number,origin_airport,destination_airport,departure_time,arrival_time,flight_status,seat_class,booking_date,price
4079,3,"Cynthia Cook",Male,50,Turkmenistan,1794,Delta,6186,SFO,ATL,"2025-08-16 04:32:51","2025-08-16 08:32:51","On Time",Economy,2025-08-12,1486.86
4697,3,"Cynthia Cook",Male,50,Turkmenistan,2796,JetBlue,9471,LAX,JFK,"2025-08-15 00:09:10","2025-08-15 03:09:10",Delayed,Business,2025-07-03,663.2
7762,3,"Cynthia Cook",Male,50,Turkmenistan,464,Delta,9327,SFO,DEN,"2025-07-23 11:37:13","2025-07-23 16:37:13","On Time",Economy,2025-07-22,425.86
1080,4,"Stacy Curtis",Other,50,Slovenia,1877,Alaska,5322,BOS,LAX,"2025-08-13 05:18:23","2025-08-13 11:18:23",Delayed,Business,2025-07-31,1415.37
5833,4,"Stacy Curtis",Other,50,Slovenia,1046,Delta,2503,ORD,MIA,"2025-08-03 13:36:50","2025-08-03 19:36:50",Delayed,Business,2025-07-07,712.53
6136,4,"Stacy Curtis",Other,50,Slovenia,2313,United,5117,DEN,SFO,"2025-07-20 14:02:33","2025-07-20 18:02:33",Delayed,First,2025-07-03,1359.98
7056,5,"Ann Faulkner",Male,50,Oman,1731,United,817,ORD,DFW,"2025-07-26 16:08:49","2025-07-26 18:08:49",Cancelled,First,2025-07-21,586.32
2722,6,"Carol Edwards",Other,50,Brazil,438,JetBlue,9858,SFO,DEN,"2025-07-24 04:48:26","2025-07-24 06:48:26",Cancelled,First,2025-08-11,1219.57
8548,6,"Carol Edwards",Other,50,Brazil,1862,"American Airlines",1854,ORD,DEN,"2025-08-02 20:41:03","2025-08-03 00:41:03","On Time",Business,2025-08-17,900.04
649,7,"Brandon Jennings",Female,54.0,Nigeria,454,United,5022,DEN,ATL,"2025-08-09 13:04:28","2025-08-09 18:04:28",Delayed,First,2025-08-04,405.67
2561,7,"Brandon Jennings",Female,54.0,Nigeria,1648,Spirit,2534,SFO,ATL,"2025-07-28 04:00:40","2025-07-28 06:00:40","On Time",Economy,2025-06-21,1388.13
5433,7,"Brandon Jennings",Female,54.0,Nigeria,333,Alaska,8208,BOS,SEA,"2025-08-04 13:52:10","2025-08-04 15:52:10",Cancelled,Economy,2025-06-26,1482.14
6606,7,"Brandon Jennings",Female,54.0,Nigeria,2759,Southwest,2431,JFK,DFW,"2025-07-29 21:16:09","2025-07-30 02:16:09",Delayed,Economy,2025-07-15,974.7
7541,7,"Brandon Jennings",Female,54.0,Nigeria,2936,JetBlue,1037,BOS,JFK,"2025-07-28 07:53:07","2025-07-28 10:53:07",Delayed,Economy,2025-08-02,1292.53
8592,7,"Brandon Jennings",Female,54.0,Nigeria,2569,Delta,6510,SEA,ORD,"2025-07-19 04:31:51","2025-07-19 08:31:51",Delayed,First,2025-07-04,142.89
9530,7,"Brandon Jennings",Female,54.0,Nigeria,1982,JetBlue,7628,ORD,DEN,"2025-08-06 13:42:26","2025-08-06 17:42:26",Delayed,First,2025-08-01,343.96
9857,7,"Brandon Jennings",Female,54.0,Nigeria,2587,Frontier,9305,ORD,DEN,"2025-07-20 15:24:23","2025-07-20 19:24:23",Delayed,Business,2025-07-07,201.96
1102,8,"Julia Smith",Other,50,"Marshall Islands",2966,United,4612,DEN,ORD,"2025-08-12 07:14:12","2025-08-12 09:14:12",Cancelled,First,2025-07-24,1476.92
2877,8,"Julia Smith",Other,50,"Marshall Islands",269,United,4196,JFK,MIA,"2025-07-23 02:38:36","2025-07-23 04:38:36",Cancelled,Economy,2025-06-30,980.61
3702,8,"Julia Smith",Other,50,"Marshall Islands",1221,Alaska,9598,DEN,SFO,"2025-08-13 15:33:18","2025-08-13 17:33:18",Cancelled,Economy,2025-07-02,1273.33
1906,9,"Patricia Patterson",Male,50,Belize,1998,United,1200,SEA,SFO,"2025-07-22 22:13:05","2025-07-23 03:13:05","On Time",First,2025-07-14,907.6
6118,9,"Patricia Patterson",Male,50,Belize,97,Southwest,8099,ATL,DEN,"2025-08-03 09:17:09","2025-08-03 14:17:09",Delayed,Economy,2025-06-24,649.71
3358,10,"Monique Lang",Other,50,Tokelau,373,Southwest,7419,DFW,SFO,"2025-08-07 14:26:03","2025-08-07 16:26:03",Cancelled,First,2025-07-17,1327.32
4652,10,"Monique Lang",Other,50,Tokelau,1159,Frontier,9604,ATL,DFW,"2025-07-26 16:13:18","2025-07-26 20:13:18",Delayed,Economy,2025-07-15,393.27
7447,10,"Monique Lang",Other,50,Tokelau,1814,Alaska,6668,SFO,ORD,"2025-07-20 11:09:31","2025-07-20 16:09:31",Delayed,First,2025-07-12,1493.43
50,11,"Richard Perez",Female,71.0,Burundi,162,Frontier,5754,DEN,BOS,"2025-07-19 23:34:34","2025-07-20 05:34:34",Delayed,Economy,2025-08-03,1064.89
821,11,"Richard Perez",Female,71.0,Burundi,1980,JetBlue,8302,MIA,ATL,"2025-08-02 06:40:13","2025-08-02 08:40:13",Cancelled,Business,2025-07-10,1015.89
1342,11,"Richard Perez",Female,71.0,Burundi,1934,Frontier,4253,DEN,MIA,"2025-07-22 17:00:49","2025-07-22 19:00:49",Delayed,Economy,2025-08-04,109.22
1456,11,"Richard Perez",Female,71.0,Burundi,2015,JetBlue,7252,JFK,DFW,"2025-08-14 20:01:31","2025-08-14 23:01:31","On Time",First,2025-06-26,848.44
3917,11,"Richard Perez",Female,71.0,Burundi,2185,Frontier,2893,JFK,SEA,"2025-07-27 23:58:22","2025-07-28 01:58:22",Cancelled,First,2025-08-17,563.81
4464,11,"Richard Perez",Female,71.0,Burundi,1746,Delta,5924,ATL,DEN,"2025-08-05 14:16:54","2025-08-05 17:16:54",Delayed,First,2025-07-01,369.1
6846,11,"Richard Perez",Female,71.0,Burundi,2730,JetBlue,6737,DFW,ATL,"2025-07-27 00:29:38","2025-07-27 04:29:38","On Time",First,2025-08-01,1467.09
3107,12,"Christopher French",Other,50,Cameroon,1200,JetBlue,9620,SEA,SFO,"2025-07-22 13:06:33","2025-07-22 15:06:33",Cancelled,Economy,2025-06-20,775.46
7471,12,"Christopher French",Other,50,Cameroon,463,"American Airlines",1891,ATL,SFO,"2025-07-25 13:11:53","2025-07-25 15:11:53",Cancelled,First,2025-06-25,822.21
7896,12,"Christopher French",Other,50,Cameroon,399,United,8640,ATL,SEA,"2025-07-31 02:28:26","2025-07-31 06:28:26",Delayed,First,2025-07-04,1437.14
4474,13,"Erica Herrera",Female,50,Lithuania,1305,Southwest,3428,ATL,DEN,"2025-07-22 13:32:07","2025-07-22 15:32:07",Cancelled,First,2025-07-02,1160.1
5871,13,"Erica Herrera",Female,50,Lithuania,2032,JetBlue,525,BOS,DEN,"2025-08-03 04:27:14","2025-08-03 06:27:14",Cancelled,First,2025-06-27,1144.81
9028,13,"Erica Herrera",Female,50,Lithuania,2615,JetBlue,4365,SFO,LAX,"2025-08-04 11:34:04","2025-08-04 15:34:04",Delayed,Business,2025-07-22,819.54
4952,14,"Paula Roman",Other,50,Lesotho,2903,"American Airlines",1781,MIA,SEA,"2025-07-24 23:20:41","2025-07-25 02:20:41","On Time",Business,2025-08-08,136.94
5881,14,"Paula Roman",Other,50,Lesotho,1397,Delta,2143,SEA,DFW,"2025-08-05 06:01:05","2025-08-05 08:01:05",Cancelled,Business,2025-07-11,183.05
7691,14,"Paula Roman",Other,50,Lesotho,2158,"American Airlines",3604,ORD,DEN,"2025-08-06 19:19:28","2025-08-06 22:19:28",Delayed,Business,2025-07-13,1201.02
8328,14,"Paula Roman",Other,50,Lesotho,321,Alaska,3553,BOS,SFO,"2025-07-23 21:56:03","2025-07-23 23:56:03",Cancelled,Economy,2025-06-22,278.67
64,15,"Julie Owens",Other,24.0,Tanzania,1269,Spirit,9375,JFK,BOS,"2025-08-05 16:38:58","2025-08-05 19:38:58",Delayed,First,2025-07-09,1454.05
2649,15,"Julie Owens",Other,24.0,Tanzania,2277,Alaska,525,ATL,SFO,"2025-07-24 22:43:37","2025-07-25 04:43:37",Delayed,Economy,2025-07-23,1015.15
3886,15,"Julie Owens",Other,24.0,Tanzania,210,"American Airlines",8132,SEA,LAX,"2025-07-19 09:42:06","2025-07-19 11:42:06",Delayed,Economy,2025-07-05,586.02
5594,15,"Julie Owens",Other,24.0,Tanzania,1886,Southwest,8738,ATL,LAX,"2025-07-31 10:55:54","2025-07-31 16:55:54",Delayed,Economy,2025-08-13,495.28
9139,15,"Julie Owens",Other,24.0,Tanzania,1410,United,2029,DEN,DFW,"2025-07-20 23:15:41","2025-07-21 03:15:41",Delayed,Business,2025-08-01,920.71
77,16,"Lisa Rich",Other,50,"Sierra Leone",1424,Delta,8152,JFK,SFO,"2025-08-07 15:36:11","2025-08-07 20:36:11","On Time",First,2025-08-08,408.4
4983,16,"Lisa Rich",Other,50,"Sierra Leone",370,Southwest,2975,BOS,SFO,"2025-08-16 20:11:49","2025-08-16 22:11:49",Cancelled,First,2025-08-01,631.07
5814,16,"Lisa Rich",Other,50,"Sierra Leone",1387,Spirit,1107,SFO,JFK,"2025-08-01 06:30:56","2025-08-01 08:30:56",Cancelled,First,2025-06-20,142.39
7574,16,"Lisa Rich",Other,50,"Sierra Leone",2694,"American Airlines",7190,BOS,JFK,"2025-07-26 22:34:39","2025-07-27 03:34:39","On Time",First,2025-06-20,1017.47
1219,17,"Pamela Andrade",Other,68.0,Liberia,295,JetBlue,1780,LAX,SFO,"2025-07-31 01:35:08","2025-07-31 05:35:08",Delayed,Business,2025-07-06,780.8
3236,17,"Pamela Andrade",Other,68.0,Liberia,1239,Frontier,3881,ORD,JFK,"2025-08-02 09:43:00","2025-08-02 11:43:00",Cancelled,Economy,2025-07-20,220.45
4749,17,"Pamela Andrade",Other,68.0,Liberia,2309,Alaska,3545,BOS,ORD,"2025-08-13 05:39:58","2025-08-13 09:39:58","On Time",Economy,2025-07-13,763.28
5283,17,"Pamela Andrade",Other,68.0,Liberia,2653,"American Airlines",5122,ATL,SEA,"2025-07-29 18:02:53","2025-07-29 22:02:53","On Time",Business,2025-07-25,144.04
9165,17,"Pamela Andrade",Other,68.0,Liberia,2650,JetBlue,9085,SFO,BOS,"2025-07-24 05:13:50","2025-07-24 10:13:50","On Time",First,2025-07-19,1222.15
1630,18,"Matthew Simmons",Male,24.0,Albania,474,Spirit,3122,ORD,SEA,"2025-08-09 05:54:17","2025-08-09 10:54:17","On Time",First,2025-07-29,1396.69
5296,18,"Matthew Simmons",Male,24.0,Albania,2649,United,3815,DEN,MIA,"2025-07-23 06:46:06","2025-07-23 08:46:06",Delayed,Business,2025-08-07,353.26
9162,18,"Matthew Simmons",Male,24.0,Albania,2433,United,5370,ATL,BOS,"2025-07-24 02:04:32","2025-07-24 08:04:32","On Time",First,2025-07-02,820.19
432,19,"Ryan Coleman",Female,50,"Saint Helena",155,Southwest,2694,DFW,BOS,"2025-08-14 02:39:58","2025-08-14 04:39:58",Cancelled,First,2025-08-11,1217.44
6686,19,"Ryan Coleman",Female,50,"Saint Helena",2143,Frontier,260,DEN,SEA,"2025-08-16 12:00:30","2025-08-16 15:00:30","On Time",First,2025-08-13,672.46
9740,19,"Ryan Coleman",Female,50,"Saint Helena",1642,Spirit,1694,ORD,SFO,"2025-08-06 13:43:10","2025-08-06 19:43:10","On Time",Business,2025-07-31,353.43
170,20,"Johnny Cantrell",Female,50,Qatar,1229,JetBlue,8188,LAX,SEA,"2025-08-13 17:14:24","2025-08-13 21:14:24",Delayed,Business,2025-07-24,132.42
1917,20,"Johnny Cantrell",Female,50,Qatar,232,Southwest,6575,BOS,JFK,"2025-08-12 17:20:21","2025-08-12 19:20:21","On Time",Business,2025-07-08,884.44
3365,20,"Johnny Cantrell",Female,50,Qatar,2432,JetBlue,3945,DEN,BOS,"2025-08-14 14:43:35","2025-08-14 18:43:35","On Time",First,2025-07-04,348.41
4051,20,"Johnny Cantrell",Female,50,Qatar,243,JetBlue,5852,ORD,DFW,"2025-07-27 21:44:38","2025-07-27 23:44:38","On Time",First,2025-07-21,1127.93
8728,20,"Johnny Cantrell",Female,50,Qatar,2752,Frontier,6571,MIA,BOS,"2025-08-02 17:24:35","2025-08-02 19:24:35",Cancelled,Economy,2025-07-24,313.72
9227,20,"Johnny Cantrell",Female,50,Qatar,1679,Frontier,9804,ORD,DEN,"2025-07-23 04:47:08","2025-07-23 06:47:08",Cancelled,Economy,2025-06-21,877.32
9474,20,"Johnny Cantrell",Female,50,Qatar,1813,United,2131,BOS,SEA,"2025-08-15 08:03:25","2025-08-15 10:03:25",Delayed,First,2025-07-22,959.27
9555,20,"Johnny Cantrell",Female,50,Qatar,2497,Delta,2883,DEN,SFO,"2025-08-04 09:33:27","2025-08-04 11:33:27","On Time",Economy,2025-07-11,308.93
2028,21,"Rebekah Weaver",Other,50,Vietnam,394,Spirit,356,ATL,DFW,"2025-07-26 07:53:39","2025-07-26 09:53:39","On Time",First,2025-06-20,273.38
3078,21,"Rebekah Weaver",Other,50,Vietnam,2408,"American Airlines",9531,LAX,ORD,"2025-07-27 05:24:33","2025-07-27 08:24:33",Delayed,Business,2025-07-24,905.06
3985,21,"Rebekah Weaver",Other,50,Vietnam,1813,United,2131,BOS,SEA,"2025-08-15 08:03:25","2025-08-15 10:03:25",Delayed,Economy,2025-07-01,406.77
4700,21,"Rebekah Weaver",Other,50,Vietnam,787,Delta,9476,ORD,JFK,"2025-08-01 11:45:01","2025-08-01 14:45:01",Delayed,Business,2025-07-30,110.42
5142,22,"Carla Adams",Female,50,Serbia,1166,Delta,4903,SFO,BOS,"2025-07-31 17:47:34","2025-07-31 20:47:34",Delayed,Business,2025-07-06,754.47
6085,22,"Carla Adams",Female,50,Serbia,309,United,6022,MIA,ATL,"2025-08-10 15:20:00","2025-08-10 17:20:00","On Time",First,2025-06-20,640.76
7396,22,"Carla Adams",Female,50,Serbia,1283,Frontier,6790,DFW,JFK,"2025-07-23 23:22:21","2025-07-24 01:22:21",Cancelled,First,2025-07-04,292.29
7700,22,"Carla Adams",Female,50,Serbia,1565,JetBlue,6466,ORD,SFO,"2025-07-21 11:08:54","2025-07-21 13:08:54",Cancelled,Business,2025-07-30,710.92
7761,22,"Carla Adams",Female,50,Serbia,906,Delta,6013,MIA,SFO,"2025-07-24 15:19:54","2025-07-24 17:19:54",Cancelled,First,2025-07-08,960.65
9146,22,"Carla Adams",Female,50,Serbia,2254,"American Airlines",5306,MIA,BOS,"2025-08-14 00:19:45","2025-08-14 06:19:45",Delayed,First,2025-07-01,1076.31
5200,24,"Paula Jackson",Other,50,"Equatorial Guinea",100,Delta,1475,SFO,ORD,"2025-07-31 18:53:53","2025-07-31 23:53:53","On Time",Business,2025-06-30,443.22
6344,24,"Paula Jackson",Other,50,"Equatorial Guinea",443,"American Airlines",185,DFW,MIA,"2025-08-05 04:53:10","2025-08-05 08:53:10",Delayed,First,2025-07-14,1070.96
6493,24,"Paula Jackson",Other,50,"Equatorial Guinea",1975,Frontier,6118,DFW,SEA,"2025-08-13 08:39:03","2025-08-13 10:39:03",Cancelled,Economy,2025-06-27,883.38
7133,24,"Paula Jackson",Other,50,"Equatorial Guinea",2535,JetBlue,2834,JFK,DFW,"2025-08-07 08:09:14","2025-08-07 12:09:14",Delayed,Economy,2025-07-21,884.44
8270,24,"Paula Jackson",Other,50,"Equatorial Guinea",1995,JetBlue,6785,BOS,MIA,"2025-08-17 07:09:15","2025-08-17 09:09:15",Delayed,Economy,2025-08-14,903.38
8983,24,"Paula Jackson",Other,50,"Equatorial Guinea",74,Southwest,6067,SFO,LAX,"2025-08-14 05:07:14","2025-08-14 07:07:14",Cancelled,Economy,2025-07-01,139.58
9241,24,"Paula Jackson",Other,50,"Equatorial Guinea",1706,JetBlue,617,ORD,DFW,"2025-08-02 22:27:14","2025-08-03 00:27:14",Cancelled,First,2025-07-10,556.22
9344,24,"Paula Jackson",Other,50,"Equatorial Guinea",194,"American Airlines",3946,MIA,ORD,"2025-07-28 11:58:16","2025-07-28 16:58:16",Delayed,Economy,2025-07-19,358.88
1376,25,"Melanie Fuller",Male,50,Bolivia,1302,United,915,SFO,SEA,"2025-07-25 18:20:46","2025-07-26 00:20:46",Delayed,Economy,2025-06-23,1015.88
3361,25,"Melanie Fuller",Male,50,Bolivia,2569,Delta,6510,SEA,ORD,"2025-07-19 04:31:51","2025-07-19 08:31:51",Delayed,Economy,2025-07-02,436.64
5094,25,"Melanie Fuller",Male,50,Bolivia,23,Spirit,2691,SEA,JFK,"2025-07-31 19:02:00","2025-07-31 21:02:00",Cancelled,Business,2025-07-02,1377.63
2572,26,"Stacey Price",Other,50,Anguilla,2571,Alaska,3831,ATL,MIA,"2025-07-30 05:40:58","2025-07-30 07:40:58",Cancelled,Business,2025-07-18,770.79
3924,26,"Stacey Price",Other,50,Anguilla,1214,Alaska,571,LAX,DFW,"2025-07-24 04:30:32","2025-07-24 06:30:32",Cancelled,Business,2025-08-02,927.59
7328,26,"Stacey Price",Other,50,Anguilla,2768,JetBlue,7641,DEN,SFO,"2025-07-25 19:11:35","2025-07-25 23:11:35",Delayed,Economy,2025-07-10,1216.85
9975,26,"Stacey Price",Other,50,Anguilla,1842,United,8992,SFO,SEA,"2025-07-21 08:33:30","2025-07-21 10:33:30",Cancelled,Business,2025-07-28,455.81
2612,27,"Nancy Rojas",Other,50,"Saint Kitts and Nevis",1294,JetBlue,7526,JFK,LAX,"2025-07-24 20:39:08","2025-07-24 22:39:08",Cancelled,Business,2025-07-18,1092.14
4812,27,"Nancy Rojas",Other,50,"Saint Kitts and Nevis",2529,United,7429,JFK,MIA,"2025-07-25 02:45:21","2025-07-25 08:45:21",Delayed,First,2025-08-06,392.8
6745,27,"Nancy Rojas",Other,50,"Saint Kitts and Nevis",524,Delta,6016,DEN,ORD,"2025-07-30 20:58:03","2025-07-30 22:58:03",Cancelled,First,2025-06-30,1006.49
8131,27,"Nancy Rojas",Other,50,"Saint Kitts and Nevis",224,Alaska,5667,DEN,JFK,"2025-08-02 01:06:59","2025-08-02 04:06:59","On Time",Economy,2025-07-21,663.56
1488,28,"Charles Thompson",Male,50,Korea,2047,Southwest,1096,DFW,DEN,"2025-07-21 09:57:39","2025-07-21 11:57:39",Cancelled,Business,2025-07-01,782.2
3153,28,"Charles Thompson",Male,50,Korea,1186,JetBlue,9982,BOS,MIA,"2025-08-15 04:48:09","2025-08-15 06:48:09",Cancelled,First,2025-08-09,482.35
7402,28,"Charles Thompson",Male,50,Korea,2837,"American Airlines",4524,ORD,LAX,"2025-07-28 04:37:43","2025-07-28 09:37:43",Delayed,First,2025-07-06,645.64
8862,28,"Charles Thompson",Male,50,Korea,709,Spirit,3632,SEA,ATL,"2025-07-30 08:59:29","2025-07-30 12:59:29","On Time",Economy,2025-07-31,869.71
8978,28,"Charles Thompson",Male,50,Korea,926,"American Airlines",3814,BOS,JFK,"2025-07-21 16:05:57","2025-07-21 21:05:57","On Time",Business,2025-08-13,160.84
1853,29,"Ronald King",Other,50,Tajikistan,354,Alaska,4835,ATL,MIA,"2025-08-15 15:33:27","2025-08-15 19:33:27",Delayed,Economy,2025-08-06,941.36
3158,29,"Ronald King",Other,50,Tajikistan,1216,"American Airlines",7060,LAX,ORD,"2025-07-26 20:33:33","2025-07-26 22:33:33",Delayed,Business,2025-08-06,684.77
3415,29,"Ronald King",Other,50,Tajikistan,2291,Frontier,9384,MIA,ATL,"2025-07-29 05:03:21","2025-07-29 08:03:21",Delayed,First,2025-07-26,1116.51
5794,29,"Ronald King",Other,50,Tajikistan,1252,JetBlue,6335,LAX,SEA,"2025-08-12 21:40:18","2025-08-13 01:40:18",Delayed,Business,2025-07-06,109.46
8286,29,"Ronald King",Other,50,Tajikistan,1547,"American Airlines",2336,DEN,MIA,"2025-07-28 18:42:42","2025-07-28 23:42:42",Delayed,First,2025-08-09,103.61
1681,30,"Tracy Craig",Male,50,Iran,1666,JetBlue,4644,ORD,SEA,"2025-07-30 15:44:15","2025-07-30 17:44:15",Cancelled,Economy,2025-08-13,1032.17
2388,30,"Tracy Craig",Male,50,Iran,1193,Spirit,1549,JFK,SEA,"2025-07-21 07:23:13","2025-07-21 11:23:13",Delayed,Business,2025-07-30,968.27
5762,31,"Riley Graham",Other,50,Tunisia,656,Alaska,7698,LAX,MIA,"2025-07-26 22:36:44","2025-07-27 00:36:44",Cancelled,First,2025-06-21,475.24
9850,31,"Riley Graham",Other,50,Tunisia,344,JetBlue,1895,SFO,DFW,"2025-08-09 18:55:57","2025-08-09 20:55:57",Cancelled,First,2025-08-12,642.69
2589,32,"Timothy Hernandez",Other,50,Georgia,32,Southwest,1149,DEN,JFK,"2025-08-02 09:52:19","2025-08-02 11:52:19",Cancelled,Business,2025-06-30,1364.79
3419,32,"Timothy Hernandez",Other,50,Georgia,345,Frontier,4450,BOS,ATL,"2025-07-30 00:10:23","2025-07-30 02:10:23",Cancelled,Business,2025-08-05,1363.88
7888,32,"Timothy Hernandez",Other,50,Georgia,2104,Spirit,3947,JFK,DEN,"2025-07-25 14:37:51","2025-07-25 16:37:51",Cancelled,Business,2025-07-30,247.94
9994,32,"Timothy Hernandez",Other,50,Georgia,2281,Alaska,2530,BOS,JFK,"2025-08-09 22:16:34","2025-08-10 02:16:34",Delayed,Economy,2025-07-26,120.83
5194,33,"Anna Parsons",Male,50,Turkmenistan,1152,United,6741,ORD,SFO,"2025-07-21 17:55:59","2025-07-21 19:55:59",Cancelled,Economy,2025-08-16,1234.63
7898,33,"Anna Parsons",Male,50,Turkmenistan,421,Southwest,1213,ORD,JFK,"2025-08-02 02:17:35","2025-08-02 04:17:35",Cancelled,First,2025-08-02,144.78
8987,33,"Anna Parsons",Male,50,Turkmenistan,327,"American Airlines",5328,ATL,MIA,"2025-07-26 03:32:35","2025-07-26 05:32:35",Delayed,Economy,2025-08-08,1117.3
9945,33,"Anna Parsons",Male,50,Turkmenistan,325,Southwest,5673,BOS,ORD,"2025-07-30 11:50:16","2025-07-30 13:50:16",Cancelled,First,2025-08-10,360.55
161,34,"Christy Gonzales",Other,50,Korea,210,"American Airlines",8132,SEA,LAX,"2025-07-19 09:42:06","2025-07-19 11:42:06",Delayed,Business,2025-07-07,375.9
5936,34,"Christy Gonzales",Other,50,Korea,2128,United,1470,LAX,BOS,"2025-08-02 09:24:21","2025-08-02 12:24:21","On Time",Business,2025-07-12,825.5
3166,35,"Natalie Gutierrez",Other,50,Georgia,2049,"American Airlines",8405,SEA,LAX,"2025-08-03 05:21:09","2025-08-03 11:21:09","On Time",First,2025-06-19,1132.35
4118,35,"Natalie Gutierrez",Other,50,Georgia,1492,United,5667,MIA,ATL,"2025-07-19 11:18:33","2025-07-19 14:18:33","On Time",Economy,2025-07-12,972.05
4845,35,"Natalie Gutierrez",Other,50,Georgia,881,Southwest,4197,SFO,JFK,"2025-08-08 23:03:21","2025-08-09 01:03:21",Cancelled,Business,2025-08-04,901.13
7661,35,"Natalie Gutierrez",Other,50,Georgia,2965,Delta,3800,LAX,SFO,"2025-07-24 05:04:10","2025-07-24 07:04:10",Cancelled,Economy,2025-07-30,1119.46
9352,36,"Paul Reyes",Female,50,"Papua New Guinea",2522,JetBlue,9659,SEA,MIA,"2025-07-22 09:15:00","2025-07-22 11:15:00",Cancelled,First,2025-08-02,909.78
3517,37,"Martha Gonzalez",Female,50,Canada,420,"American Airlines",894,JFK,SEA,"2025-07-19 14:32:58","2025-07-19 16:32:58",Cancelled,Economy,2025-06-19,1360.55
4560,37,"Martha Gonzalez",Female,50,Canada,2358,Spirit,2680,SFO,ORD,"2025-07-20 10:55:49","2025-07-20 12:55:49",Cancelled,First,2025-06-24,592.2
264,38,"Tony Lewis",Male,77.0,"Cook Islands",974,Alaska,993,MIA,ORD,"2025-07-19 02:49:36","2025-07-19 04:49:36",Cancelled,First,2025-08-11,891.48
628,38,"Tony Lewis",Male,77.0,"Cook Islands",1145,Southwest,4160,DEN,SEA,"2025-07-26 09:51:18","2025-07-26 15:51:18","On Time",Business,2025-06-28,1262.99
1366,38,"Tony Lewis",Male,77.0,"Cook Islands",1019,"American Airlines",167,DFW,JFK,"2025-07-24 23:57:55","2025-07-25 05:57:55","On Time",Economy,2025-07-21,1301.38
330,39,"Joshua Henry",Other,48.0,Honduras,1773,JetBlue,8197,SFO,MIA,"2025-08-02 05:59:58","2025-08-02 07:59:58",Cancelled,Economy,2025-07-22,789.52
1185,40,"Dennis Powell",Other,71.0,"Faroe Islands",1401,Southwest,6019,SEA,LAX,"2025-08-17 06:32:55","2025-08-17 08:32:55",Cancelled,Economy,2025-07-16,1076.37
3386,40,"Dennis Powell",Other,71.0,"Faroe Islands",2234,Alaska,1398,SFO,LAX,"2025-08-08 12:50:52","2025-08-08 14:50:52",Cancelled,First,2025-08-14,382.95
4730,40,"Dennis Powell",Other,71.0,"Faroe Islands",1762,Spirit,2423,JFK,DFW,"2025-07-19 23:58:32","2025-07-20 01:58:32","On Time",Economy,2025-06-22,1190.78
5002,40,"Dennis Powell",Other,71.0,"Faroe Islands",2995,Southwest,4261,DEN,SFO,"2025-07-27 16:52:41","2025-07-27 18:52:41",Delayed,Economy,2025-08-05,1323.88
5431,40,"Dennis Powell",Other,71.0,"Faroe Islands",378,JetBlue,6913,MIA,SEA,"2025-07-23 11:31:13","2025-07-23 13:31:13",Cancelled,First,2025-07-31,566.05
8654,40,"Dennis Powell",Other,71.0,"Faroe Islands",2315,Spirit,1006,SFO,DEN,"2025-07-23 22:11:22","2025-07-24 01:11:22",Delayed,Economy,2025-08-08,492.8
9617,40,"Dennis Powell",Other,71.0,"Faroe Islands",2295,Southwest,4096,BOS,SEA,"2025-08-04 06:46:15","2025-08-04 11:46:15","On Time",Economy,2025-08-01,414.1
